Entity,Code,Year,Annual area burnt by wildfires
Afghanistan,AFG,2020,29652
Africa,,2020,243435410
Akrotiri and Dhekelia,OWID_AKD,2020,0
Aland Islands,ALA,2020,0
Albania,ALB,2020,34094
Algeria,DZA,2020,274661
American Samoa,ASM,2020,0
Andorra,AND,2020,0
Angola,AGO,2020,33027396
Anguilla,AIA,2020,0
Antigua and Barbuda,ATG,2020,0
Argentina,ARG,2020,9715507
Armenia,ARM,2020,3900
Aruba,ABW,2020,0
Asia,,2020,36863784
Australia,AUS,2020,18683630
Austria,AUT,2020,0
Azerbaijan,AZE,2020,60917
Bahamas,BHS,2020,36112
Bahrain,BHR,2020,0
Bangladesh,BGD,2020,290433
Barbados,BRB,2020,0
Belarus,BLR,2020,75619
Belgium,BEL,2020,127
Belize,BLZ,2020,122773
Benin,BEN,2020,1037099
Bermuda,BMU,2020,0
Bhutan,BTN,2020,8059
Bolivia,BOL,2020,7570460
Bonaire Sint Eustatius and Saba,BES,2020,0
Bosnia and Herzegovina,BIH,2020,119257
Botswana,BWA,2020,1443178
Bouvet Island,BVT,2020,0
Brazil,BRA,2020,37356150
British Indian Ocean Territory,IOT,2020,0
British Virgin Islands,VGB,2020,166
Brunei,BRN,2020,1947
Bulgaria,BGR,2020,38466
Burkina Faso,BFA,2020,1179768
Burundi,BDI,2020,65028
Cambodia,KHM,2020,4076690
Cameroon,CMR,2020,4389725
Canada,CAN,2020,611974
Cape Verde,CPV,2020,0
Cayman Islands,CYM,2020,0
Central African Republic,CAF,2020,18434704
Chad,TCD,2020,5819171
Chile,CHL,2020,353030
China,CHN,2020,3030089
Christmas Island,CXR,2020,0
Cocos Islands,CCK,2020,0
Colombia,COL,2020,3402381
Comoros,COM,2020,1030
Congo,COG,2020,1740073
Cook Islands,COK,2020,0
Costa Rica,CRI,2020,111750
Cote d'Ivoire,CIV,2020,2101639
Croatia,HRV,2020,21981
Cuba,CUB,2020,791904
Curacao,CUW,2020,0
Cyprus,CYP,2020,2329
Czechia,CZE,2020,1995
Democratic Republic of Congo,COD,2020,47181270
Denmark,DNK,2020,0
Djibouti,DJI,2020,460
Dominica,DMA,2020,131
Dominican Republic,DOM,2020,51360
East Timor,TLS,2020,42069
Ecuador,ECU,2020,334385
Egypt,EGY,2020,14452
El Salvador,SLV,2020,68161
Equatorial Guinea,GNQ,2020,3933
Eritrea,ERI,2020,60824
Estonia,EST,2020,0
Eswatini,SWZ,2020,84868
Ethiopia,ETH,2020,5619382
Europe,,2020,18501448
Falkland Islands,FLK,2020,142
Faroe Islands,FRO,2020,0
Fiji,FJI,2020,20445
Finland,FIN,2020,1253
France,FRA,2020,31365
French Guiana,GUF,2020,21009
French Polynesia,PYF,2020,0
French Southern Territories,ATF,2020,0
Gabon,GAB,2020,210204
Gambia,GMB,2020,129342
Georgia,GEO,2020,40610
Germany,DEU,2020,2621
Ghana,GHA,2020,6004830
Gibraltar,GIB,2020,0
Greece,GRC,2020,34811
Greenland,GRL,2020,475
Grenada,GRD,2020,0
Guadeloupe,GLP,2020,0
Guam,GUM,2020,278
Guatemala,GTM,2020,622628
Guernsey,GGY,2020,0
Guinea,GIN,2020,6998378
Guinea-Bissau,GNB,2020,492330
Guyana,GUY,2020,163908
Haiti,HTI,2020,21196
Heard Island and McDonald Islands,HMD,2020,0
Honduras,HND,2020,1754450
Hong Kong,HKG,2020,414
Hungary,HUN,2020,7448
Iceland,ISL,2020,606
India,IND,2020,5348453
Indonesia,IDN,2020,903265
Iran,IRN,2020,506242
Iraq,IRQ,2020,556646
Ireland,IRL,2020,3901
Isle of Man,IMN,2020,0
Israel,ISR,2020,7260
Italy,ITA,2020,108044
Jamaica,JAM,2020,9622
Japan,JPN,2020,16543
Jersey,JEY,2020,0
Jordan,JOR,2020,1840
Kazakhstan,KAZ,2020,2554482
Kenya,KEN,2020,431060
Kiribati,KIR,2020,0
Kosovo,OWID_KOS,2020,14743
Kuwait,KWT,2020,1113
Kyrgyzstan,KGZ,2020,8440
Laos,LAO,2020,4660381
Latvia,LVA,2020,621
Lebanon,LBN,2020,5314
Lesotho,LSO,2020,17122
Liberia,LBR,2020,545777
Libya,LBY,2020,7532
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,646
Luxembourg,LUX,2020,0
Macao,MAC,2020,0
Madagascar,MDG,2020,5523363
Malawi,MWI,2020,916475
Malaysia,MYS,2020,68432
Maldives,MDV,2020,0
Mali,MLI,2020,3902854
Malta,MLT,2020,174
Marshall Islands,MHL,2020,0
Martinique,MTQ,2020,0
Mauritania,MRT,2020,53588
Mauritius,MUS,2020,909
Mayotte,MYT,2020,0
Mexico,MEX,2020,4340281
Micronesia (country),FSM,2020,0
Moldova,MDA,2020,10661
Monaco,MCO,2020,0
Mongolia,MNG,2020,22604
Montenegro,MNE,2020,40176
Montserrat,MSR,2020,301
Morocco,MAR,2020,17559
Mozambique,MOZ,2020,17313180
Myanmar,MMR,2020,8161084
Namibia,NAM,2020,1927115
Nauru,NRU,2020,0
Nepal,NPL,2020,158307
Netherlands,NLD,2020,1307
New Caledonia,NCL,2020,8734
New Zealand,NZL,2020,37965
Nicaragua,NIC,2020,619465
Niger,NER,2020,176902
Nigeria,NGA,2020,6917765
Niue,NIU,2020,0
Norfolk Island,NFK,2020,0
North America,,2020,16633357
North Korea,PRK,2020,26704
North Macedonia,MKD,2020,9691
Northern Cyprus,OWID_CYN,2020,1315
Northern Mariana Islands,MNP,2020,354
Norway,NOR,2020,639
Oceania,,2020,19024048
Oman,OMN,2020,1012
Pakistan,PAK,2020,202146
Palau,PLW,2020,188
Palestine,PSE,2020,3817
Panama,PAN,2020,156566
Papua New Guinea,PNG,2020,259237
Paraguay,PRY,2020,5997364
Peru,PER,2020,1252817
Philippines,PHL,2020,331058
Pitcairn,PCN,2020,0
Poland,POL,2020,9956
Portugal,PRT,2020,60485
Puerto Rico,PRI,2020,0
Qatar,QAT,2020,333
Reunion,REU,2020,8561
Romania,ROU,2020,199056
Russia,RUS,2020,16400821
Rwanda,RWA,2020,24122
Saint Barthelemy,BLM,2020,0
Saint Helena,SHN,2020,0
Saint Kitts and Nevis,KNA,2020,170
Saint Lucia,LCA,2020,177
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,245
Samoa,WSM,2020,0
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,675
Saudi Arabia,SAU,2020,7012
Senegal,SEN,2020,2558083
Serbia,SRB,2020,28824
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,1967039
Singapore,SGP,2020,0
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,652
Slovenia,SVN,2020,0
Solomon Islands,SLB,2020,2398
Somalia,SOM,2020,15796
South Africa,ZAF,2020,3106020
South America,,2020,74289336
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,7869
South Sudan,SSD,2020,23057318
Spain,ESP,2020,105354
Sri Lanka,LKA,2020,33378
Sudan,SDN,2020,4994049
Suriname,SUR,2020,43041
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,16117
Switzerland,CHE,2020,160
Syria,SYR,2020,224986
Taiwan,TWN,2020,1326
Tajikistan,TJK,2020,5581
Tanzania,TZA,2020,10216640
Thailand,THA,2020,3927651
Togo,TGO,2020,758559
Tokelau,TKL,2020,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,8161
Tunisia,TUN,2020,27362
Turkey,TUR,2020,395765
Turkmenistan,TKM,2020,139585
Turks and Caicos Islands,TCA,2020,239
Tuvalu,TUV,2020,0
Uganda,UGA,2020,1989324
Ukraine,UKR,2020,1103696
United Arab Emirates,ARE,2020,525
United Kingdom,GBR,2020,13753
United States,USA,2020,7305050
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,76411
Uzbekistan,UZB,2020,104089
Vanuatu,VUT,2020,10819
Vatican,VAT,2020,0
Venezuela,VEN,2020,8002733
Vietnam,VNM,2020,884086
Wallis and Futuna,WLF,2020,0
Western Sahara,ESH,2020,262
World,OWID_WRL,2020,408747400
Yemen,YEM,2020,360
Zambia,ZMB,2020,19424936
Zimbabwe,ZWE,2020,1221719
